country,name,state-province,alpha_two_code,web_pages,domains
"Korea, Republic of",Kangnam University,,KR,['http://www.kangnam.ac.kr/'],['kangnam.ac.kr']
"Korea, Republic of",Kangnung National University,,KR,['http://www.kangnung.ac.kr/'],['kangnung.ac.kr']
"Korea, Republic of",Kangwon National University,,KR,['http://www.kangwon.ac.kr/'],['kangwon.ac.kr']
"Korea, Republic of",Kaya University,,KR,['http://www.kaya.ac.kr/'],['kaya.ac.kr']
"Korea, Republic of",KDI School of Public Policy and Management,,KR,['http://www.kdischool.ac.kr/'],['kdischool.ac.kr']
"Korea, Republic of",Keimyung University,,KR,['http://www.keimyung.ac.kr/'],"['keimyung.ac.kr', 'kmu.ac.kr']"
"Korea, Republic of",Korea Maritime University,,KR,['http://www.kmaritime.ac.kr/'],['kmaritime.ac.kr']
"Korea, Republic of",Korea National Open University,,KR,['http://www.knou.ac.kr/'],['knou.ac.kr']
"Korea, Republic of",Korea National University of Arts,,KR,['http://www.knua.ac.kr/'],"['knua.ac.kr', 'karts.ac.kr']"
"Korea, Republic of",Korea National University of Education,,KR,['http://www.knue.ac.kr/'],['knue.ac.kr']
"Korea, Republic of",Korea National University of Physical Education,,KR,['http://www.knupe.ac.kr/'],['knupe.ac.kr']
"Korea, Republic of",Kongju National University of Education,,KR,['http://www.kongju-e.ac.kr/'],['kongju-e.ac.kr']
"Korea, Republic of",Konkuk University,,KR,['http://www.konkuk.ac.kr/'],['konkuk.ac.kr']
"Korea, Republic of",Konyang University,,KR,['http://www.konyang.ac.kr/'],['konyang.ac.kr']
"Korea, Republic of",Kookmin University,,KR,['http://www.kookmin.ac.kr/'],['kookmin.ac.kr']
"Korea, Republic of",Korea University,,KR,['http://www.korea.ac.kr/'],['korea.ac.kr']
"Korea, Republic of",Kosin University,,KR,['http://www.kosin.ac.kr/'],['kosin.ac.kr']
"Korea, Republic of",Kumoh National University of Technology,,KR,['http://www.kumoh.ac.kr/'],['kumoh.ac.kr']
"Korea, Republic of",Kunsan National University,,KR,['http://www.kunsan.ac.kr/'],['kunsan.ac.kr']
"Korea, Republic of",Kwan Dong University,,KR,['http://www.kwandong.ac.kr/'],['kwandong.ac.kr']
"Korea, Republic of",Kwangju University,,KR,['http://www.kwangju.ac.kr/'],"['kwangju.ac.kr', 'gwangju.ac.kr']"
"Korea, Republic of",Kwangju National University of Education,,KR,['http://www.kwangju-e.ac.kr/'],['kwangju-e.ac.kr']
"Korea, Republic of",Kwangwoon University,,KR,['http://www.kwangwoon.ac.kr/'],"['kwangwoon.ac.kr', 'kw.ac.kr']"
"Korea, Republic of",Kyonggi University,,KR,['http://www.kyonggi.ac.kr/'],['kyonggi.ac.kr']
"Korea, Republic of",Kongju National University,,KR,['http://www.kyongju.ac.kr/'],"['kyongju.ac.kr', 'kongju.ac.kr']"
"Korea, Republic of",Kyunghee University,,KR,['http://www.kyunghee.ac.kr/'],['kyunghee.ac.kr']
"Korea, Republic of",Kyungil University,,KR,['http://www.kyungil.ac.kr/'],"['kyungil.ac.kr', 'kiu.ac.kr']"
"Korea, Republic of",Kyungnam University,,KR,['http://www.kyungnam.ac.kr/'],['kyungnam.ac.kr']
"Korea, Republic of",Kyungpook National University,,KR,['http://www.kyungpook.ac.kr/'],['kyungpook.ac.kr']
"Korea, Republic of",Kyungsung University,,KR,['http://www.kyungsung.ac.kr/'],"['kyungsung.ac.kr', 'ks.ac.kr']"
"Korea, Republic of",Kyungwon University,,KR,['http://www.kyungwon.ac.kr/'],['kyungwon.ac.kr']
"Korea, Republic of",KC University,,KR,['http://www.kcu.ac.kr/'],['kcu.ac.kr']
"Korea, Republic of",Kkottongnae University,,KR,['http://www.kkot.ac.kr/'],['kkot.ac.kr']
"Korea, Republic of",Korea Aerospace University,,KR,['http://www.kau.ac.kr'],['kau.ac.kr']
"Korea, Republic of",Korea Armed Forces Nursing Academy,,KR,['http://www.kafna.ac.kr'],['kafna.ac.kr']
"Korea, Republic of",Korea Baptist Theological University and Seminary,,KR,['http://www.kbtus.ac.kr/'],['kbtus.ac.kr']
"Korea, Republic of",Korea Maritime and Ocean University,,KR,['http://www.kmou.ac.kr'],['kmou.ac.kr']
"Korea, Republic of",Korea Military Academy,,KR,['http://www.kma.ac.kr/'],['kma.ac.kr']
"Korea, Republic of",Korea National Sport University,,KR,['http://www.knsu.ac.kr'],['knsu.ac.kr']
"Korea, Republic of",Korea National University of Cultural Heritage,,KR,['http://www.nuch.ac.kr'],['nuch.ac.kr']
"Korea, Republic of",Korea Nazarene University,,KR,['http://www.kornu.ac.kr/'],['kornu.ac.kr']
"Korea, Republic of",Korea Polytechnic University,,KR,['http://www.kpu.ac.kr/'],['kpu.ac.kr']
"Korea, Republic of",Korea University of Technology and Education,,KR,['http://www.koreatech.ac.kr'],['koreatech.ac.kr']
"Korea, Republic of",Korean Bible University,,KR,['http://www.bible.ac.kr/'],['bible.ac.kr']
"Korea, Republic of",Korean National Police University,,KR,['http://www.police.ac.kr/'],['police.ac.kr']
"Korea, Republic of",Kwangju Women's University,,KR,['http://www.kwu.ac.kr/'],['kwu.ac.kr']
"Korea, Republic of",Kwangshin University,,KR,['http://www.kwangshin.ac.kr/'],['kwangshin.ac.kr']
"Korea, Republic of",Kyung Hee University,,KR,['http://www.khu.ac.kr'],['khu.ac.kr']
"Korea, Republic of",Kyungdong University,,KR,['http://www.kduniv.ac.kr/'],['kduniv.ac.kr']
"Korea, Republic of",Kyungwoon University,,KR,['http://www.ikw.ac.kr/'],['ikw.ac.kr']
"Korea, Republic of",Miryang National University,,KR,['http://www.miryang.ac.kr/'],['miryang.ac.kr']
"Korea, Republic of",Mokpo National Maritime University,,KR,['http://www.mmu.ac.kr/'],['mmu.ac.kr']
"Korea, Republic of",Mokpo National University,,KR,['http://www.mokpo.ac.kr/'],['mokpo.ac.kr']
"Korea, Republic of",Mokwon University Taejon,,KR,['http://www.mokwon.ac.kr/'],['mokwon.ac.kr']
"Korea, Republic of",Myongji University,,KR,['http://www.myongji.ac.kr/'],"['myongji.ac.kr', 'mju.ac.kr']"
"Korea, Republic of",Methodist Theological University,,KR,['http://www.mtu.ac.kr/'],['mtu.ac.kr']
"Korea, Republic of",Mokpo Catholic University,,KR,['https://www.mcu.ac.kr/'],['mcu.ac.kr']
"Korea, Republic of",Nambu University,,KR,['http://www.nambu.ac.kr/'],['nambu.ac.kr']
"Korea, Republic of",Namseoul University,,KR,['http://www.nsu.ac.kr/'],['nsu.ac.kr']
"Korea, Republic of",Pai Chai University,,KR,['http://www.pcu.ac.kr'],['pcu.ac.kr']
"Korea, Republic of",Presbyterian University and Theological Seminary,,KR,['http://www.puts.ac.kr/'],['puts.ac.kr']
"Korea, Republic of",Pyeongtaek University,,KR,['http://www.ptu.ac.kr/'],['ptu.ac.kr']
"Korea, Republic of",Paichai University,,KR,['http://www.paichai.ac.kr/'],['paichai.ac.kr']
"Korea, Republic of",Pukyong National University,,KR,['http://www.pknu.ac.kr/'],['pknu.ac.kr']
"Korea, Republic of",Pohang University of Science and Technology,,KR,"['http://www.postech.ac.kr/', 'http://www.postech.edu/']","['postech.ac.kr', 'postech.edu']"
"Korea, Republic of",Pyongtaek University,,KR,['http://www.ptuniv.ac.kr/'],['ptuniv.ac.kr']
"Korea, Republic of",Pusan University of Foreign Studies,,KR,['http://www.pufs.ac.kr/'],['pufs.ac.kr']
"Korea, Republic of",Pusan National University,,KR,['http://www.pusan.ac.kr/'],['pusan.ac.kr']
"Korea, Republic of",Pusan National University of Education,,KR,['http://www.pusan-e.ac.kr/'],['pusan-e.ac.kr']
"Korea, Republic of",Pusan Women's University,,KR,['http://www.pwc.ac.kr/'],['pwc.ac.kr']
"Korea, Republic of",Republic of Korea Air Force Academy,,KR,['http://www.afa.ac.kr/'],['afa.ac.kr']
"Korea, Republic of",Republic of Korea Naval Academy,,KR,['http://www.navy.ac.kr/'],['navy.ac.kr']
"Korea, Republic of",Samchok National University,,KR,['http://www.samchok.ac.kr/'],['samchok.ac.kr']
"Korea, Republic of",Sang Ji University,,KR,['http://www.sangji.ac.kr/'],['sangji.ac.kr']
"Korea, Republic of",Sang Myung University,,KR,['http://www.sangmyung.ac.kr/'],['sangmyung.ac.kr']
"Korea, Republic of",Soonchunhyang University,,KR,['http://www.sch.ac.kr/'],['sch.ac.kr']
"Korea, Republic of",Sejong University,,KR,['http://www.sejong.ac.kr/'],['sejong.ac.kr']
"Korea, Republic of",Semyung University,,KR,['http://www.semyung.ac.kr/'],['semyung.ac.kr']
"Korea, Republic of",Seonam University,,KR,['http://www.seonam.ac.kr/'],['seonam.ac.kr']
"Korea, Republic of",Seoul National University of Education,,KR,['http://www.seoul-e.ac.kr/'],"['seoul-e.ac.kr', 'snue.ac.kr']"
"Korea, Republic of",Seowon University,,KR,['http://www.seowon.ac.kr/'],['seowon.ac.kr']
"Korea, Republic of",Silla University,,KR,['http://www.silla.ac.kr/'],['silla.ac.kr']
"Korea, Republic of",Sung Kyun Kwan University,,KR,['http://www.skku.ac.kr/'],['skku.ac.kr']
"Korea, Republic of",Seokyeong University,,KR,"['http://www.skuniv.ac.kr/', 'http://www.seokyeong.ac.kr/']","['skuniv.ac.kr', 'seokyeong.ac.kr']"
"Korea, Republic of",Seoul National University,,KR,['http://www.snu.ac.kr/'],['snu.ac.kr']
"Korea, Republic of",Seoul National University of Technology,,KR,['http://www.snut.ac.kr/'],['snut.ac.kr']
"Korea, Republic of",Sogang University,,KR,['http://www.sogang.ac.kr/'],['sogang.ac.kr']
"Korea, Republic of",Sookmyung Women's University,,KR,['http://www.sookmyung.ac.kr/'],['sookmyung.ac.kr']
"Korea, Republic of",Soongsil University,,KR,['http://www.soongsil.ac.kr/'],"['soongsil.ac.kr', 'ssu.ac.kr']"
"Korea, Republic of",Seoul Teological University,,KR,['http://www.stu.ac.kr/'],['stu.ac.kr']
"Korea, Republic of",Sunchon National University,,KR,['http://www.sunchon.ac.kr/'],"['sunchon.ac.kr', 'scnu.ac.kr']"
"Korea, Republic of",Sungkyul University,,KR,['http://www.sungkyul.ac.kr/'],['sungkyul.ac.kr']
"Korea, Republic of",Sungshin Women's University,,KR,['http://www.sungshin.ac.kr/'],['sungshin.ac.kr']
"Korea, Republic of",Sunmoon University,,KR,['http://www.sunmoon.ac.kr/'],['sunmoon.ac.kr']
"Korea, Republic of",Suwon University,,KR,['http://www.suwon.ac.kr/'],['suwon.ac.kr']
"Korea, Republic of",Suwon Catholic University,,KR,['http://www.suwoncatholic.ac.kr/'],['suwoncatholic.ac.kr']
"Korea, Republic of",Seoul Women's University,,KR,['http://www.swu.ac.kr/'],['swu.ac.kr']
"Korea, Republic of",Sahmyook University,,KR,['http://www.syu.ac.kr/'],['syu.ac.kr']
"Korea, Republic of",Sangmyung University,,KR,['http://www.smu.ac.kr'],['smu.ac.kr']
"Korea, Republic of",Sehan University,,KR,['http://www.sehan.ac.kr/'],['sehan.ac.kr']
"Korea, Republic of",Seoul Christian University,,KR,['http://www.scu.ac.kr/'],['scu.ac.kr']
"Korea, Republic of",Seoul Hanyoung University,,KR,['http://www.hytu.ac.kr/'],['hytu.ac.kr']
"Korea, Republic of",Seoul Jangsin University,,KR,['http://www.sjs.ac.kr'],['sjs.ac.kr']
"Korea, Republic of",Seoul National University of Science and Technology,,KR,['http://www.seoultech.ac.kr'],['seoultech.ac.kr']
"Korea, Republic of",Shingyeong University,,KR,['http://www.sgu.ac.kr/'],['sgu.ac.kr']
"Korea, Republic of",Shinhan University,,KR,['http://www.shinhan.ac.kr/'],['shinhan.ac.kr']
"Korea, Republic of",Songwon University,,KR,['http://www.songwon.ac.kr/'],['songwon.ac.kr']
"Korea, Republic of",Sungkonghoe University,,KR,['http://www.skhu.ac.kr'],['skhu.ac.kr']
"Korea, Republic of",Sungkyunkwan University,,KR,['http://www.skku.edu/'],['skku.edu']
"Korea, Republic of",Taegu University,,KR,['http://www.taegu.ac.kr/'],['taegu.ac.kr']
"Korea, Republic of",Taegu National University of Education,,KR,['http://www.taegu-e.ac.kr/'],['taegu-e.ac.kr']
"Korea, Republic of",Taejon University,,KR,['http://www.taejon.ac.kr/'],['taejon.ac.kr']
"Korea, Republic of",Taeshin Christian University,,KR,['http://www.taeshin.ac.kr/'],['taeshin.ac.kr']
"Korea, Republic of",Tongmyung University of Information Technology,,KR,['http://www.tit.ac.kr/'],['tit.ac.kr']
"Korea, Republic of",Taejon National University of Technology,,KR,['http://www.tnut.ac.kr/'],['tnut.ac.kr']
"Korea, Republic of",Ulsan University,,KR,['http://www.ulsan.ac.kr/'],['ulsan.ac.kr']
"Korea, Republic of",Seoul City University,,KR,['http://www.uos.ac.kr/'],['uos.ac.kr']
"Korea, Republic of",University of Science and Technology,,KR,['http://www.ust.ac.kr/'],['ust.ac.kr']
"Korea, Republic of",U1 University,,KR,['http://www.u1.ac.kr/'],['u1.ac.kr']
"Korea, Republic of",Uiduk University,,KR,['http://www.uu.ac.kr/'],['uu.ac.kr']
"Korea, Republic of",Ulsan National Institute of Science and Technology,,KR,['http://www.unist.ac.kr'],['unist.ac.kr']
"Korea, Republic of",Woosong University,,KR,['http://www.wsu.ac.kr/'],['wsu.ac.kr']
"Korea, Republic of",Wonkwang University,,KR,['http://www.wonkwang.ac.kr/'],"['wonkwang.ac.kr', 'wku.ac.kr']"
"Korea, Republic of",Woosuk University,,KR,['http://www.woosuk.ac.kr/'],['woosuk.ac.kr']
"Korea, Republic of",Yeungnam University,,KR,['http://www.yeungnam.ac.kr/'],['yeungnam.ac.kr']
"Korea, Republic of",Yonsei University,,KR,['http://www.yonsei.ac.kr/'],['yonsei.ac.kr']
"Korea, Republic of",Yosu National University,,KR,['http://www.yosu.ac.kr/'],['yosu.ac.kr']
"Korea, Republic of",Yewon Arts University,,KR,['http://www.yewon.ac.kr/'],['www.yewon.ac.kr']
"Korea, Republic of",Yong In University,,KR,['http://www.yongin.ac.kr/'],['www.yongin.ac.kr']
"Korea, Republic of",Youngsan University,,KR,['http://www.ysu.ac.kr/'],['www.ysu.ac.kr']
"Korea, Republic of",Youngsan University of Son Studies,,KR,['http://www.youngsan.ac.kr'],['www.youngsan.ac.kr']
Kosovo,American University In Kosovo,,XK,['http://www.aukonline.org/'],['aukonline.org']
Kosovo,ILIRIA College,,XK,['http://www.uiliria.org/'],['uiliria.org']
Kosovo,University of Prishtina,,XK,['http://www.uni-pr.edu/'],['uni-pr.edu']
Kosovo,"University of Prizren ""Ukshin Hoti""",,XK,['http://www.uni-prizren.com/'],['uni-prizren.com']
Kosovo,Universum College,,XK,['http://www.universum-ks.org/'],['universum-ks.org']
Kuwait,Australlian College of Kuwait,,KW,['http://www.ackonline.com/'],['ackonline.com']
Kuwait,"Arab Open University, Kuwait Branch",,KW,['http://www.aou.edu.kw/'],['aou.edu.kw']
Kuwait,American University of Kuwait,,KW,['http://www.auk.edu.kw/'],['auk.edu.kw']
Kuwait,American University of Middle East,,KW,['http://www.aum.edu.kw/'],['aum.edu.kw']
Kuwait,Gulf University for Science and Technology,,KW,['http://www.gust.edu.kw/'],['gust.edu.kw']
Kuwait,Kuwait International Law School,,KW,['http://www.kilaw.edu.kw/'],['kilaw.edu.kw']
Kuwait,Kuwait Maastricht Business School,,KW,['http://www.kmbs.edu.kw/'],['kmbs.edu.kw']
Kuwait,Kuwait University,,KW,['http://www.kuniv.edu.kw/'],['kuniv.edu.kw']
Kyrgyzstan,Asian Medical Institute,,KG,['http://www.asmi.edu.kg/'],['asmi.edu.kg']
Kyrgyzstan,American University of Central Asia,,KG,['http://www.auca.kg/'],['auca.kg']
Kyrgyzstan,Bishkek Humanities University,,KG,['http://www.bhu.kg/'],['bhu.kg']
Kyrgyzstan,International Ataturk Alatoo University,,KG,['http://www.iaau.edu.kg/'],['iaau.edu.kg']
Kyrgyzstan,International University of Kyrgyzstan,,KG,['http://www.iuk.kg/'],['iuk.kg']
Kyrgyzstan,Jalalabad State University Kyrgyzstan,,KG,['http://www.jasu.edu.kg/'],['jasu.edu.kg']
Kyrgyzstan,Kyrgyz National Agrarian University,,KG,['http://www.knau.kg/'],['knau.kg']
Kyrgyzstan,Kyrgyz Russian Slavic University,,KG,['http://www.krsu.edu.kg/'],['krsu.edu.kg']
Kyrgyzstan,Kyrgyz State Technical University,,KG,['http://www.kstu.kg/'],['kstu.kg']
Kyrgyzstan,"Kyrgyz State University of Construction, Transportation and Architecture",,KG,['http://www.ksucta.kg/'],['ksucta.kg']
Kyrgyzstan,Kyrgyz Turkish Manas University,,KG,['http://www.manas.kg/'],['manas.kg']
Kyrgyzstan,"Medical Faculty, Osh State University",,KG,['http://www.oshmed.com/'],['oshmed.com']
Kyrgyzstan,Kyrgyz National University,,KG,['http://www.university.kg/'],['university.kg']
Lao People's Democratic Republic,National University of Laos,Vientiane,LA,['https://www.nuol.edu.la/'],['nuol.edu.la']
Lao People's Democratic Republic,Soutsaka Institute of Technology,Vientiane,LA,['https://www.scmt.edu.la/'],['simt.edu.la']
Latvia,Medical Academy of Latvia,,LV,['http://www.aml.lv/'],['aml.lv']
Latvia,School of Business and Finance,,LV,['http://www.ba.lv/'],['ba.lv']
Latvia,Baltic International Academy,,LV,['http://www.bsa.edu.lv/'],['bsa.edu.lv']
Latvia,Liepaja Pedagogical Higher School,,LV,['http://www.cs.lpu.lv/'],['cs.lpu.lv']
Latvia,Daugavpils University,,LV,['http://www.dau.lv/'],['dau.lv']
Latvia,Latvian Maritime Academy,,LV,['http://www.lama.lv/'],['lama.lv']
Latvia,Latvian Academy of Culture,,LV,['http://www.lka.edu.lv/'],['lka.edu.lv']
Latvia,Latvia University of Life Sciences and Technologies,,LV,"['https://www.llu.lv/', 'https://www.lbtu.lv/']","['llu.lv', 'lbtu.lv']"
Latvia,Latvian Academy of Arts,,LV,['http://www.lma.lv/'],['lma.lv']
Latvia,Latvian Academy of Music,,LV,['http://www.lmuza.lv/academy/'],['lmuza.lv']
Latvia,Latvian Academy of Sports Education,,LV,['http://lspa.lanet.lv/'],['lspa.lanet.lv']
Latvia,University of Latvia,,LV,['http://www.lu.lv/'],['lu.lv']
Latvia,National Defence Academy of Latvia,,LV,['http://www.mil.lv/'],['mil.lv']
Latvia,Police Academy of Latvia,,LV,['http://www.polak.edu.lv/'],['polak.edu.lv']
Latvia,Higher School of Psychology,,LV,['http://www.psy.lv/'],['psy.lv']
Latvia,Riga Aviation University,,LV,['http://www.rau.lv/'],['rau.lv']
Latvia,Riga Teacher Training and Educational Management Academy,,LV,['http://www.rpiva.lv/'],['rpiva.lv']
Latvia,Riga Technical University,,LV,['http://www.rtu.lv/'],['rtu.lv']
Latvia,Rezekne Higher School,,LV,['http://www.ru.lv/'],['ru.lv']
Latvia,Stockholm School of Economics in Riga,,LV,['http://www.sseriga.edu.lv/'],['sseriga.edu.lv']
Latvia,Transport and Telecommunication Institute,,LV,['http://www.tsi.lv/'],['tsi.lv']
Latvia,Vidzeme University College,,LV,['http://www.va.lv/'],['va.lv']
Lebanon,Arab Open University,,LB,['http://www.arabou-lb.edu.lb/'],['arabou-lb.edu.lb']
Lebanon,American University of Beirut,,LB,['http://www.aub.edu.lb/'],['aub.edu.lb']
Lebanon,"Arts, Sciences and Technology University",,LB,['http://www.aul.edu.lb/'],['aul.edu.lb']
Lebanon,American University of Science and Technology,,LB,['http://www.aust.edu.lb/'],['aust.edu.lb']
Lebanon,American University College of Technology,,LB,['http://www.aut.edu/'],['aut.edu']
Lebanon,Balamand University,,LB,['http://www.balamand.edu.lb/'],['balamand.edu.lb']
Lebanon,Beirut Arab University,,LB,['http://www.bau.edu.lb/'],['bau.edu.lb']
Lebanon,Centre Universitaire de Technologie,,LB,['http://www.cut.edu.lb/'],['cut.edu.lb']
Lebanon,Global University,,LB,['http://www.gu.edu.lb/'],['gu.edu.lb']
Lebanon,Haigazian University,,LB,['http://www.haigazian.edu.lb/'],['haigazian.edu.lb']
Lebanon,Hariri Canadian University,,LB,['http://www.hariricanadian.edu.lb/'],['hariricanadian.edu.lb']
Lebanon,Business & Computer University College,,LB,['http://www.hu.edu.lb/'],['hu.edu.lb']
Lebanon,Al-Islah University,,LB,['http://www.islahonline.org/'],['islahonline.org']
Lebanon,Jinan University,,LB,['http://www.jinan.edu.lb/'],['jinan.edu.lb']
Lebanon,Lebanese American University,,LB,['http://www.lau.edu.lb/'],['lau.edu.lb']
Lebanon,Lebanese International University,,LB,['http://www.liu.edu.lb/'],['liu.edu.lb']
Lebanon,Matn University,,LB,['http://www.matnu.edu.lb/'],['matnu.edu.lb']
Lebanon,Al-Manar University,,LB,['http://www.mut.edu.lb/'],['mut.edu.lb']
Lebanon,Notre Dame University,,LB,['http://www.ndu.edu.lb/'],['ndu.edu.lb']
Lebanon,Near East School of Theology,,LB,['http://www.theonest.edu.lb/'],['theonest.edu.lb']
Lebanon,Lebanese University,,LB,['http://www.ul.edu.lb/'],['ul.edu.lb']
Lebanon,Holy Spirit University of Kaslik,,LB,['http://www.usek.edu.lb/'],['usek.edu.lb']
Lebanon,St. Joseph University Beirut,,LB,['http://www.usj.edu.lb/'],['usj.edu.lb']
Lebanon,Al Imam Al-Ouzai University,,LB,['http://www.wakf.org/'],['wakf.org']
Lesotho,National University of Lesotho,,LS,['http://www.nul.ls/'],['nul.ls']
Liberia,University of Liberia,,LR,['http://www.universityliberia.org/'],['universityliberia.org']
Libya,Al-Asmarya University for Islamic Studies,,LY,['http://www.asmarya.edu.ly/'],['asmarya.edu.ly']
Libya,Elmergib University,,LY,['http://www.elmergib.edu.ly/'],['elmergib.edu.ly']
Libya,Al-Jabal Al-Gharbi University,,LY,['http://www.jgu.edu.ly/'],['jgu.edu.ly']
Libya,Libya Open University,,LY,['http://www.libopenuniv-edu.org/'],['libopenuniv-edu.org']
Libya,Libyan International Medical University (LIMU),,LY,['http://www.limu.edu.ly/'],['limu.edu.ly']
Libya,Omar Al-Mukhtar University,,LY,['http://www.omu.edu.ly/'],['omu.edu.ly']
Libya,Sebha University,,LY,['http://www.sebhau.edu.ly/'],['sebhau.edu.ly']
Libya,Sirte University,,LY,['http://www.su.edu.ly/'],['su.edu.ly']
Libya,University of Benghazi,,LY,['http://www.uob.edu.ly/'],['uob.edu.ly']
Libya,University of Tripoli,,LY,['http://www.uot.edu.ly/'],['uot.edu.ly']
Libya,Zawiya University,,LY,['http://www.zu.edu.ly/'],['zu.edu.ly']
Liechtenstein,Internationle Akademie für Philosophie,,LI,['http://www.iap.li/'],['iap.li']
Liechtenstein,Universität Liechtenstein,,LI,['http://www.uni.li/'],['uni.li']
Lithuania,Kaunas Medical Academy,,LT,['http://info.kma.lt/'],['info.kma.lt']
Lithuania,International School of Management,,LT,['http://www.ism.lt/'],['ism.lt']
Lithuania,Kaunas University of Technology,,LT,['http://www.ktu.lt/'],['ktu.lt']
Lithuania,Klaipeda University,,LT,['http://www.ku.lt/'],['ku.lt']
Lithuania,Lithuania Christian College,,LT,['http://www.lcc.lt/'],['lcc.lt']
Lithuania,Military academy of Lithuania,,LT,['http://www.lka.lt/'],['lka.lt']
Lithuania,Lithunian Institute of Physical Education,,LT,['http://www.lkka.lt/'],['lkka.lt']
Lithuania,Lithunian Academy of Music and Theatre,,LT,['http://www.lmta.lt/'],['lmta.lt']
Lithuania,Lithunian Veterinary Academy,,LT,['http://www.lva.lt/'],['lva.lt']
Lithuania,Lithunian University of Agriculture,,LT,['http://www.lzua.lt/'],['lzua.lt']
Lithuania,Vilnius Academy of Arts,,LT,['http://www.mch.mii.lt/more/vda/'],['mch.mii.lt']
Lithuania,Mykolo Romerio university,,LT,['http://www.mruni.eu/'],['mruni.eu']
Lithuania,Siauliai University,,LT,['http://www.su.lt/'],['su.lt']
Lithuania,Vytautas Magnus University,,LT,['http://www.vdu.lt/'],['vdu.lt']
Lithuania,Vilnius Gediminas Technical University,,LT,['http://www.vgtu.lt/'],['vgtu.lt']
Lithuania,Vilnius Pedagogical University,,LT,['http://www.vpu.lt/'],['vpu.lt']
Lithuania,Vilnius University,,LT,['http://www.vu.lt/'],['vu.lt']
Luxembourg,International University Institute of Luxembourg,,LU,['http://www.iuil.lu/'],['iuil.lu']
Luxembourg,University of Luxemburg,,LU,['http://www.uni.lu/'],['uni.lu']
Macao,Macau Polytechnic Institute,,MO,['http://www.ipm.edu.mo/'],['ipm.edu.mo']
Macao,University of Macau,,MO,['http://www.um.edu.mo/'],['um.edu.mo']
Macao,Macau University of Science and Technology,,MO,['http://www.must.edu.mo/'],['must.edu.mo']
Macao,University of Saint Joseph,,MO,['http://www.usj.edu.mo/'],['usj.edu.mo']
North Macedonia,FON University,,MK,['http://www.fon.edu.mk/'],['fon.edu.mk']
North Macedonia,South East European University,,MK,['http://www.seeu.edu.mk/'],['seeu.edu.mk']
North Macedonia,Macedonian Academy of Sciences and Arts,,MK,['http://manu.edu.mk/'],['manu.edu.mk']
North Macedonia,University Goce Delcev,,MK,['http://www.ugd.edu.mk/'],['ugd.edu.mk']
North Macedonia,"University for Information Science and Technology ""St. Paul The Apostle""",,MK,['http://www.uist.edu.mk/'],['uist.edu.mk']
North Macedonia,St.Cyril and Methodius University,,MK,['http://www.ukim.edu.mk/'],"['ukim.edu.mk', 'ukim.mk', 'finki.ukim.mk', 'students.finki.ukim.mk']"
North Macedonia,St.Kliment Ohridski University,,MK,['http://www.uklo.edu.mk/'],['uklo.edu.mk']
North Macedonia,State University of Tetova,,MK,['http://www.unite.edu.mk/'],['unite.edu.mk']
Madagascar,Université d'Antananarivo,,MG,['http://www.univ-antananarivo.mg/'],['univ-antananarivo.mg']
Madagascar,Université d'Antsiranana,,MG,['http://www.univ-antsiranana.mg/'],['univ-antsiranana.mg']
Madagascar,Université de Fianarantsoa,,MG,['http://www.univ-fianar.mg/'],['univ-fianar.mg']
Madagascar,Université de Mahajanga,,MG,['http://www.univ-mahajanga.mg/'],['univ-mahajanga.mg']
Madagascar,Université de Toamasina,,MG,['http://www.univ-toamasina.mg/'],['univ-toamasina.mg']
Madagascar,Université de Toliary,,MG,['http://www.univ-toliara.mg/'],['univ-toliara.mg']
Malawi,Catholic University of Malawi,,MW,['http://www.cunima.net/'],['cunima.net']
Malawi,Mzuzu University,,MW,['http://www.mzuni.ac.mw/'],['mzuni.ac.mw']
Malawi,University of Livingstonia,,MW,['http://www.ulivingstonia.com/'],['ulivingstonia.com']
Malawi,University of Malawi,,MW,['http://www.unima.ac.mw/'],['unima.ac.mw']
Malawi,Malawi University of Business and Applied Sciences,,MW,['http://www.mubas.ac.mw/'],['mubas.ac.mw']
Malawi,Malawi University of Science and Technology,,MW,['http://www.must.ac.mw/'],['must.ac.mw']
Malawi,Lilongwe University of Agriculture and Natural Resources,,MW,['http://www.luanar.ac.mw/'],['luanar.ac.mw']
Malawi,University of Malawi | Old,,MW,['http://www.unima.mw/'],['unima.mw']
Malaysia,Allianze College of Medical Sciences (ACMS),,MY,['http://www.acms.edu.my/'],['acms.edu.my']
Malaysia,Asia E University,,MY,['http://www.aeu.edu.my/'],['aeu.edu.my']
Malaysia,Aimst University,,MY,['http://www.aimst.edu.my/'],['aimst.edu.my']
Malaysia,Al-Bukhari International University,,MY,['http://www.aiu.edu.my/'],['aiu.edu.my']
Malaysia,Asia Pacific Institute of Information Technology (APIIT),,MY,['http://www.apiit.edu.my/'],['apiit.edu.my']
Malaysia,Advance Tertiary College,,MY,['http://www.atc2u.com/'],['atc2u.com']
Malaysia,Brickfields Asia College,,MY,['http://www.bac.edu.my/'],['bac.edu.my']
Malaysia,Binary University College of Managemant & Entrepreneurship,,MY,['http://www.binary.edu.my/'],['binary.edu.my']
Malaysia,British Malaysian Institute,,MY,['http://www.bmi.edu.my/'],['bmi.edu.my']
Malaysia,City University College of Science and Technology,,MY,['http://www.city.edu.my/'],['city.edu.my']
